Company_Code,Company_Name,Market_Type,Security_Code,Sector,Market_Cap,Last_Price,PE,DY,ROE
SERNKOU,SERN KOU RESOURCES BERHAD,MAIN,7180,Household Goods,630.69m,0.59,487.50,0.00,0.55
SERSOL,SERSOL BERHAD,ACE,0055,Chemicals,106.06m,0.15,-,0.00,-77.50
SFPTECH,SFP TECH HOLDINGS BERHAD,ACE,0251,Semiconductors,2.220b,0.93,59.29,0.36,19.50
SGBHD,SUPERGENICS BERHAD,LEAP,03033,Industrial Services,21.39m,0.23,-,0.00,-
SHANG,SHANGRI-LA HOTELS (MALAYSIA) BERHAD,MAIN,5517,"Travel, Leisure & Hospitality",932.80m,2.12,-,0.00,-1.89
SHCHAN,SIN HENG CHAN (MALAYA) BERHAD,MAIN,4316,Plantation,87.86m,0.30,16.48,0.00,2.02
SHH,SHH RESOURCES HOLDINGS BERHAD,MAIN,7412,Household Goods,121.99m,1.22,32.88,0.00,4.76
SHL,SHL CONSOLIDATED BHD,MAIN,6017,Property,566.57m,2.34,10.45,5.13,6.04
SIAB,SIAB HOLDINGS BERHAD,ACE,0241,Construction,58.76m,0.12,-,0.00,-48.60
SIGN,SIGNATURE INTERNATIONAL BERHAD,MAIN,7246,Household Goods,610.00m,0.95,-,0.00,-
SIME,SIME DARBY BERHAD,MAIN,4197,Automotive,15.062b,2.21,10.33,5.88,8.62
SIMEPLT,SIME DARBY PLANTATION BERHAD,MAIN,5285,Plantation,29.599b,4.28,21.04,3.75,8.10
SIMEPROP,SIME DARBY PROPERTY BERHAD,MAIN,5288,Property,4.353b,0.64,14.95,3.12,2.95
SINARAN,SINARAN ADVANCE GROUP BERHAD,MAIN,5172,Personal Goods,86.92m,0.10,-,0.00,-24.29
SJC,SENI JAYA CORPORATION BERHAD,MAIN,9431,Media,95.13m,0.49,6.31,0.00,25.06
SKBSHUT,SKB SHUTTERS CORPORATION BERHAD,MAIN,7115,Building Materials,92.40m,0.70,6.24,0.00,12.75
SKHAWK,STEEL HAWK BERHAD,LEAP,03049,"Energy Infrastructure, Equipment & Services",44.80m,0.28,-,1.96,-
SKPRES,SKP RESOURCES BHD,MAIN,7155,"Industrial Materials, Components & Equipment",1.610b,1.03,12.48,4.37,14.47
SKYWLD,SKYWORLD DEVELOPMENT BERHAD,MAIN,5315,Property,520.00m,0.52,-,5.77,-
